word_1,def_1-1,def_1-2,def_1-3,def_1-4,def_1-5,def_1-6,def_1-7,word_2,def_2-1,def_2-2,def_2-3,def_2-4,def_2-5,def_2-6,def_2-7
butchery,"<crowd-radio-button name="def_1-0" value="def_1-0">a building where animals are butchered</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">the business of a butcher</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">the savage and excessive killing of many people</crowd-radio-button>",o,o,o,o,butch,"<crowd-radio-button name="def_2-0" value="def_2-0">(slang) offensive term for a lesbian who is noticeably masculine</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">used of men; markedly masculine in appearance or manner</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">(of male or female homosexuals) characterized by stereotypically male traits or appearance</crowd-radio-button>",o,o,o,o
mummification,"<crowd-radio-button name="def_1-0" value="def_1-0">a condition resembling that of a mummy</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">(pathology) gangrene that develops in the presence of arterial obstruction and is characterized by dryness of the dead tissue and a dark brown color</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">embalmment and drying a dead body and wrapping it as a mummy</crowd-radio-button>",o,o,o,o,becoming,"<crowd-radio-button name="def_2-0" value="def_2-0">enter or assume a certain state or condition</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">undergo a change or development</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">come into existence</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">enhance the appearance of</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">according with custom or propriety</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">displaying or setting off to best advantage</crowd-radio-button>",o
tickle,"<crowd-radio-button name="def_1-0" value="def_1-0">a cutaneous sensation often resulting from light stroking</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">the act of tickling</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">touch (a body part) lightly so as to excite the surface nerves and cause uneasiness, laughter, or spasmodic movements</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">feel sudden intense sensation or emotion</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">touch or stroke lightly</crowd-radio-button>",o,o,repeated,"<crowd-radio-button name="def_2-0" value="def_2-0">to say, state, or perform again</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">make or do or perform again</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">happen or occur again</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">to say again or imitate</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">do over</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">repeat an earlier theme of a composition</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">recurring again and again</crowd-radio-button>"
hush,"<crowd-radio-button name="def_1-0" value="def_1-0">(poetic) tranquil silence</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">become quiet or still; fall silent</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">cause to be quiet or not talk</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">become quiet or quieter</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">wash by removing particles</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">run water over the ground to erode (soil), revealing the underlying strata and valuable minerals</crowd-radio-button>",o,phrase,"<crowd-radio-button name="def_2-0" value="def_2-0">an expression consisting of one or more words forming a grammatical constituent of a sentence</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a short musical passage</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">an expression whose meanings cannot be inferred from the meanings of the words that make it up</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">dance movements that are linked in a single choreographic sequence</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">put into words or an expression</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">divide, combine, or mark into phrases</crowd-radio-button>",o
stabilizer,"<crowd-radio-button name="def_1-0" value="def_1-0">a chemical that is added to a solution or mixture or suspension to maintain it in a stable or unchanging state</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">airfoil consisting of a device for stabilizing an aircraft</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">a device for making something stable</crowd-radio-button>",o,o,o,o,chemical,"<crowd-radio-button name="def_2-0" value="def_2-0">material produced by or used in a reaction involving changes in atoms or molecules</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">relating to or used in chemistry</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">of or made from or using substances produced by or used in reactions involving atomic or molecular changes</crowd-radio-button>",o,o,o,o
filibuster,"<crowd-radio-button name="def_1-0" value="def_1-0">a legislator who gives long speeches in an effort to delay or obstruct legislation that he (or she) opposes</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">(law) a tactic for delaying or obstructing legislation by making long speeches</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">obstruct deliberately by delaying</crowd-radio-button>",o,o,o,o,armed,"<crowd-radio-button name="def_2-0" value="def_2-0">prepare oneself for a military confrontation</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">supply with arms</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">(used of persons or the military) characterized by having or bearing arms</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">having arms or arms as specified; used especially in combination</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">(used of plants and animals) furnished with bristles and thorns</crowd-radio-button>",o,o
paint,"<crowd-radio-button name="def_1-0" value="def_1-0">a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">(basketball) a space (including the foul line) in front of the basket at each end of a basketball court; usually painted a different color from the rest of the court</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">makeup consisting of a pink or red powder applied to the cheeks</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">make a painting</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">apply paint to; coat with paint</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">make a painting of</crowd-radio-button>","<crowd-radio-button name="def_1-6" value="def_1-6">apply a liquid to; e.g., paint the gutters with linseed oil</crowd-radio-button>",pigments,"<crowd-radio-button name="def_2-0" value="def_2-0">dry coloring material (especially a powder to be mixed with a liquid to produce paint, etc.)</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">any substance whose presence in plant or animal tissues produces a characteristic color</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">acquire pigment; become colored or imbued</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">color or dye with a pigment</crowd-radio-button>",o,o
dingy,"<crowd-radio-button name="def_1-0" value="def_1-0">thickly covered with ingrained dirt or soot</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">(of color) discolored by impurities; not bright and clear;  is often used in combination</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">causing dejection</crowd-radio-button>",o,o,o,o,dung,"<crowd-radio-button name="def_2-0" value="def_2-0">fecal matter of animals</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">fertilize or dress with dung</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">defecate; used of animals</crowd-radio-button>",o,o,o,o
unwind,"<crowd-radio-button name="def_1-0" value="def_1-0">reverse the winding or twisting of</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">separate the tangles of</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">become less tense, rest, or take one's ease</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">cause to feel relaxed</crowd-radio-button>",o,o,o,finance,"<crowd-radio-button name="def_2-0" value="def_2-0">the commercial activity of providing funds and capital</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the branch of economics that studies the management of money and other assets</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">the management of money and credit and banking and investments</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">obtain or provide money for</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">sell or provide on credit</crowd-radio-button>",o,o
warp,"<crowd-radio-button name="def_1-0" value="def_1-0">a twist or aberration; especially a perverse or abnormal way of judging or acting</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a shape distorted by twisting or folding</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">a moral or mental distortion</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">yarn arranged lengthways on a loom and crossed by the woof</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">make false by mutilation or addition; as of a message or story</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">bend out of shape, as under pressure or from heat</crowd-radio-button>",o,sediment,"<crowd-radio-button name="def_2-0" value="def_2-0">matter that has been deposited by some natural process</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">deposit as a sediment</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">settle as sediment</crowd-radio-button>",o,o,o,o
dribbling,"<crowd-radio-button name="def_1-0" value="def_1-0">the propulsion of a ball by repeated taps or kicks</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">run or flow slowly, as in drops or in an unsteady stream</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">let or cause to fall in drops</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">propel,</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">let saliva drivel from the mouth</crowd-radio-button>",o,o,dribble,"<crowd-radio-button name="def_2-0" value="def_2-0">flowing in drops; the formation and falling of drops of liquid</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">saliva spilling from the mouth</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">the propulsion of a ball by repeated taps or kicks</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">run or flow slowly, as in drops or in an unsteady stream</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">let or cause to fall in drops</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">propel,</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">let saliva drivel from the mouth</crowd-radio-button>"
navy,"<crowd-radio-button name="def_1-0" value="def_1-0">an organization of military vessels belonging to a country and available for sea warfare</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a dark shade of blue</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">the navy of the United States of America; the agency that maintains and trains and equips combat-ready naval forces</crowd-radio-button>",o,o,o,o,department,"<crowd-radio-button name="def_2-0" value="def_2-0">a specialized division of a large organization</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the territorial and administrative division of some countries (such as France)</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a specialized sphere of knowledge</crowd-radio-button>",o,o,o,o
immediate,"<crowd-radio-button name="def_1-0" value="def_1-0">of the present time and place</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">very close or connected in space or time</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">having no intervening medium</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">immediately before or after as in a chain of cause and effect</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">performed with little or no delay</crowd-radio-button>",o,o,immediacy,"<crowd-radio-button name="def_2-0" value="def_2-0">lack of an intervening or mediating agency</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">immediate intuitive awareness</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">the quickness of action or occurrence</crowd-radio-button>",o,o,o,o
