word_1,def_1-1,qual_1-1_start,qual_1-1_end,def_1-2,qual_1-2_start,qual_1-2_end,def_1-3,qual_1-3_start,qual_1-3_end,def_1-4,qual_1-4_start,qual_1-4_end,def_1-5,qual_1-5_start,qual_1-5_end,def_1-6,qual_1-6_start,qual_1-6_end,def_1-7,qual_1-7_start,qual_1-7_end,word_2,def_2-1,qual_2-1_start,qual_2-1_end,def_2-2,qual_2-2_start,qual_2-2_end,def_2-3,qual_2-3_start,qual_2-3_end,def_2-4,qual_2-4_start,qual_2-4_end,def_2-5,qual_2-5_start,qual_2-5_end,def_2-6,qual_2-6_start,qual_2-6_end,def_2-7,qual_2-7_start,qual_2-7_end,relationship
comfortable,"providing or experiencing physical well-being or relief (`comfy' is informal)",,,"free from stress or conducive to mental ease; having or affording peace of mind",,,"more than adequate",,,"sufficient to provide comfort",,,"in fortunate circumstances financially; moderately rich",,,,<!--,-->,,<!--,-->,comforting,"give moral or emotional strength to",,,"lessen pain or discomfort; alleviate",,,"providing freedom from worry",,,"affording comfort or solace",,,,<!--,-->,,<!--,-->,,<!--,-->,Synonym
scissors,"an edge tool having two crossed pivoting blades",,,"a wrestling hold in which you wrap your legs around the opponents body or head and put your feet together and squeeze",,,"a gymnastic exercise performed on the pommel horse when the gymnast moves his legs as the blades of scissors move",,,"cut with or as if with scissors",,,,<!--,-->,,<!--,-->,,<!--,-->,metal,"any of several chemical elements that are usually shiny solids that conduct heat or electricity and can be formed into sheets etc.",,,"a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten",,,"cover with metal",,,"containing or made of or resembling or characteristic of a metal; ; ; - Ambrose Bierce",,,,<!--,-->,,<!--,-->,,<!--,-->,MadeOf
muddy,"dirty with mud",,,"cause to become muddy",,,"make turbid",,,"(of soil) soft and watery",,,"dirty and messy; covered with mud or muck",,,"(of color) discolored by impurities; not bright and clear;  is often used in combination",,,"(of liquids) clouded as with sediment",,,muddle,"a confused multitude of things",,,"informal terms for a difficult situation",,,"make into a puddle",,,"mix up or confuse",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
convoluted,"curl, wind, or twist together",,,"practice sophistry; change the meaning of or be vague about in order to mislead or deceive",,,"rolled longitudinally upon itself",,,"highly complex or intricate and occasionally devious; ; ; ; ; ; ; ; - Sir Walter Scott",,,,<!--,-->,,<!--,-->,,<!--,-->,complicated,"make more complicated",,,"make more complex, intricate, or richer",,,"difficult to analyze or understand",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
lame,"someone who doesn't understand what is going on",,,"a fabric interwoven with threads of metal",,,"deprive of the use of a limb, especially a leg",,,"pathetically lacking in force or effectiveness",,,"disabled in the feet or legs",,,,<!--,-->,,<!--,-->,hobbling,"walk impeded by some physical limitation or injury",,,"hamper the action or progress of",,,"strap the foreleg and hind leg together on each side (of a horse) in order to keep the legs on the same side moving in unison",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,Synonym
phoenix,"the state capital and largest city located in south central Arizona; situated in a former desert that has become a prosperous agricultural area thanks to irrigation",,,"a large monocotyledonous genus of pinnate-leaved palms found in Asia and Africa",,,"a legendary Arabian bird said to periodically burn itself to death and emerge from the ashes as a new phoenix; according to most versions only one phoenix lived at a time and it renewed itself every 500 years",,,"a constellation in the southern hemisphere near Tucana and Sculptor",,,,<!--,-->,,<!--,-->,,<!--,-->,egyptian,"a native or inhabitant of Egypt",,,"the ancient and now extinct language of Egypt under the Pharaohs; written records date back to 3000 BC",,,"of or relating to or characteristic of Egypt or its people or their language",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
resounding,"ring or echo with sound",,,"emit a noise",,,"characterized by resonance",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,emphatic,"spoken with emphasis",,,"sudden and strong",,,"forceful and definite in expression or action",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
butchery,"a building where animals are butchered",,,"the business of a butcher",,,"the savage and excessive killing of many people",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,butch,"(slang) offensive term for a lesbian who is noticeably masculine",,,"used of men; markedly masculine in appearance or manner",,,"(of male or female homosexuals) characterized by stereotypically male traits or appearance",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,DerivedFrom
mummification,"a condition resembling that of a mummy",,,"(pathology) gangrene that develops in the presence of arterial obstruction and is characterized by dryness of the dead tissue and a dark brown color",,,"embalmment and drying a dead body and wrapping it as a mummy",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,becoming,"enter or assume a certain state or condition",,,"undergo a change or development",,,"come into existence",,,"enhance the appearance of",,,"according with custom or propriety",,,"displaying or setting off to best advantage",,,,<!--,-->,IsA
tickle,"a cutaneous sensation often resulting from light stroking",,,"the act of tickling",,,"touch (a body part) lightly so as to excite the surface nerves and cause uneasiness, laughter, or spasmodic movements",,,"feel sudden intense sensation or emotion",,,"touch or stroke lightly",,,,<!--,-->,,<!--,-->,repeated,"to say, state, or perform again",,,"make or do or perform again",,,"happen or occur again",,,"to say again or imitate",,,"do over",,,"repeat an earlier theme of a composition",,,"recurring again and again",,,RelatedTo
hush,"(poetic) tranquil silence",,,"become quiet or still; fall silent",,,"cause to be quiet or not talk",,,"become quiet or quieter",,,"wash by removing particles",,,"run water over the ground to erode (soil), revealing the underlying strata and valuable minerals",,,,<!--,-->,phrase,"an expression consisting of one or more words forming a grammatical constituent of a sentence",,,"a short musical passage",,,"an expression whose meanings cannot be inferred from the meanings of the words that make it up",,,"dance movements that are linked in a single choreographic sequence",,,"put into words or an expression",,,"divide, combine, or mark into phrases",,,,<!--,-->,RelatedTo
stabilizer,"a chemical that is added to a solution or mixture or suspension to maintain it in a stable or unchanging state",,,"airfoil consisting of a device for stabilizing an aircraft",,,"a device for making something stable",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,chemical,"material produced by or used in a reaction involving changes in atoms or molecules",,,"relating to or used in chemistry",,,"of or made from or using substances produced by or used in reactions involving atomic or molecular changes",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,IsA
filibuster,"a legislator who gives long speeches in an effort to delay or obstruct legislation that he (or she) opposes",,,"(law) a tactic for delaying or obstructing legislation by making long speeches",,,"obstruct deliberately by delaying",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,armed,"prepare oneself for a military confrontation",,,"supply with arms",,,"(used of persons or the military) characterized by having or bearing arms",,,"having arms or arms as specified; used especially in combination",,,"(used of plants and animals) furnished with bristles and thorns",,,,<!--,-->,,<!--,-->,RelatedTo
paint,"a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating",,,"(basketball) a space (including the foul line) in front of the basket at each end of a basketball court; usually painted a different color from the rest of the court",,,"makeup consisting of a pink or red powder applied to the cheeks",,,"make a painting",,,"apply paint to; coat with paint",,,"make a painting of",,,"apply a liquid to; e.g., paint the gutters with linseed oil",,,pigments,"dry coloring material (especially a powder to be mixed with a liquid to produce paint, etc.)",,,"any substance whose presence in plant or animal tissues produces a characteristic color",,,"a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating",,,"acquire pigment; become colored or imbued",,,"color or dye with a pigment",,,,<!--,-->,,<!--,-->,RelatedTo
dingy,"thickly covered with ingrained dirt or soot",,,"(of color) discolored by impurities; not bright and clear;  is often used in combination",,,"causing dejection",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,dung,"fecal matter of animals",,,"fertilize or dress with dung",,,"defecate; used of animals",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,DerivedFrom
unwind,"reverse the winding or twisting of",,,"separate the tangles of",,,"become less tense, rest, or take one's ease",,,"cause to feel relaxed",,,,<!--,-->,,<!--,-->,,<!--,-->,finance,"the commercial activity of providing funds and capital",,,"the branch of economics that studies the management of money and other assets",,,"the management of money and credit and banking and investments",,,"obtain or provide money for",,,"sell or provide on credit",,,,<!--,-->,,<!--,-->,HasContext
warp,"a twist or aberration; especially a perverse or abnormal way of judging or acting",,,"a shape distorted by twisting or folding",,,"a moral or mental distortion",,,"yarn arranged lengthways on a loom and crossed by the woof",,,"make false by mutilation or addition; as of a message or story",,,"bend out of shape, as under pressure or from heat",,,,<!--,-->,sediment,"matter that has been deposited by some natural process",,,"deposit as a sediment",,,"settle as sediment",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
dribbling,"the propulsion of a ball by repeated taps or kicks",,,"run or flow slowly, as in drops or in an unsteady stream",,,"let or cause to fall in drops",,,"propel,",,,"let saliva drivel from the mouth",,,,<!--,-->,,<!--,-->,dribble,"flowing in drops; the formation and falling of drops of liquid",,,"saliva spilling from the mouth",,,"the propulsion of a ball by repeated taps or kicks",,,"run or flow slowly, as in drops or in an unsteady stream",,,"let or cause to fall in drops",,,"propel,",,,"let saliva drivel from the mouth",,,Synonym
navy,"an organization of military vessels belonging to a country and available for sea warfare",,,"a dark shade of blue",,,"the navy of the United States of America; the agency that maintains and trains and equips combat-ready naval forces",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,department,"a specialized division of a large organization",,,"the territorial and administrative division of some countries (such as France)",,,"a specialized sphere of knowledge",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
immediate,"of the present time and place",,,"very close or connected in space or time",,,"having no intervening medium",,,"immediately before or after as in a chain of cause and effect",,,"performed with little or no delay",,,,<!--,-->,,<!--,-->,immediacy,"lack of an intervening or mediating agency",,,"immediate intuitive awareness",,,"the quickness of action or occurrence",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
sardine,"small fatty fish usually canned",,,"any of various small edible herring or related food fishes frequently canned",,,"a deep orange-red variety of chalcedony",,,"small fishes found in great schools along coasts of Europe; smaller and rounder than herring",,,,<!--,-->,,<!--,-->,,<!--,-->,cram,"crowd or pack to capacity",,,"put something somewhere so that the space is completely filled",,,"study intensively, as before an exam",,,"prepare (students) hastily for an impending exam",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
great,"a person who has achieved distinction and honor in some field",,,"relatively large in size or number or extent; larger than others of its kind",,,"of major significance or importance",,,"remarkable or out of the ordinary in degree or magnitude or effect",,,"very good",,,"uppercase",,,"in an advanced stage of pregnancy",,,extraordinary,"beyond what is ordinary or usual; highly unusual or exceptional or remarkable",,,"far more than usual or expected",,,"(of an official) serving an unusual or special function in addition to those of the regular officials",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,SimilarTo
nominate,"propose as a candidate for some honor",,,"put forward; nominate for appointment to an office or for an honor or position",,,"charge with a function; charge to be",,,"create and charge with a task or function",,,,<!--,-->,,<!--,-->,,<!--,-->,choose,"pick out, select, or choose from a number of alternatives",,,"select as an alternative over another",,,"see fit or proper to act in a certain way; decide to act in a certain way",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,MannerOf
gamey,"suggestive of sexual impropriety",,,"(used of the smell of meat) smelling spoiled or tainted",,,"willing to face danger",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,suggestive,"tending to suggest or imply",,,"(usually followed by `of') pointing out or revealing clearly",,,"tending to suggest something improper or indecent",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
sanctioning,"give sanction to",,,"give authority or permission to",,,"give religious sanction to, such as through on oath",,,"implying sanction or serving to sanction",,,,<!--,-->,,<!--,-->,,<!--,-->,sanction,"formal and explicit approval",,,"a mechanism of social control for enforcing a society's standards",,,"official permission or approval",,,"the act of final authorization",,,"give sanction to",,,"give authority or permission to",,,"give religious sanction to, such as through on oath",,,FormOf
encouragement,"the expression of approval and support",,,"the act of giving hope or support to someone",,,"the feeling of being encouraged",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,approval,"the formal act of approving",,,"a feeling of liking something or someone good",,,"acceptance as satisfactory",,,"a message expressing a favorable opinion",,,,<!--,-->,,<!--,-->,,<!--,-->,IsA
combustion,"a process in which a substance reacts with oxygen to give heat and light",,,"a state of violent disturbance and excitement",,,"the act of burning something",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,engines,"motor that converts thermal energy to mechanical work",,,"something used to achieve a purpose",,,"a wheeled vehicle consisting of a self-propelled engine that is used to draw trains along railway tracks",,,"an instrument or machine that is used in warfare, such as a battering ram, catapult, artillery piece, etc.",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
golds,"coins made of gold",,,"a deep yellow color",,,"a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia",,,"great wealth; --Ben Jonson",,,"something likened to the metal in brightness or preciousness or superiority etc.",,,,<!--,-->,,<!--,-->,gold,"coins made of gold",,,"a deep yellow color",,,"a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia",,,"great wealth; --Ben Jonson",,,"something likened to the metal in brightness or preciousness or superiority etc.",,,"made from or covered with gold",,,"having the deep slightly brownish color of gold",,,FormOf
unobjectionable,"(of behavior or especially language) free from objectionable elements; fit for all observers",,,"not causing disapproval",,,"not objectionable",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,objection,"the act of expressing earnest opposition or protest",,,"the speech act of objecting",,,"the act of protesting; a public (often organized) manifestation of dissent",,,"(law) a procedure whereby a party to a suit says that a particular line of questioning or a particular witness or a piece of evidence or other matter is improper and should not be continued and asks the court to rule on its impropriety or illegality",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
twang,"a sharp vibrating sound (as of a plucked string)",,,"exaggerated nasality in speech (as in some regional dialects)",,,"cause to sound with a twang",,,"sound with a twang",,,"twitch or throb with pain",,,"pluck (strings of an instrument)",,,"pronounce with a nasal twang",,,quality,"an essential and distinguishing attribute of something or someone; --Shakespeare",,,"a degree or grade of excellence or worth",,,"a characteristic property that defines the apparent individual nature of something",,,"(music) the distinctive property of a complex sound (a voice or noise or musical sound)",,,"high social status",,,"of superior grade",,,"of high social status",,,RelatedTo
thoroughbred,"a well-bred person",,,"a racehorse belonging to a breed that originated from a cross between Arabian stallions and English mares",,,"a pedigreed animal of unmixed lineage; used especially of horses",,,"having a list of ancestors as proof of being a purebred animal",,,,<!--,-->,,<!--,-->,,<!--,-->,racing,"the sport of engaging in contests of speed",,,"move fast",,,"compete in a race",,,"to work as fast as possible towards a goal, sometimes in competition with others",,,"cause to move fast or to rush or race",,,,<!--,-->,,<!--,-->,RelatedTo
dominant,"(music) the fifth note of the diatonic scale",,,"an allele that produces the same phenotype whether its paired allele is identical or different",,,"exercising influence or control",,,"(of genes) producing the same phenotype whether its allele is identical or dissimilar",,,"most frequent or common",,,,<!--,-->,,<!--,-->,prevailing,"be larger in number, quantity, power, status or importance",,,"be valid, applicable, or true",,,"continue to exist",,,"prove superior",,,"use persuasion successfully",,,"most frequent or common",,,,<!--,-->,RelatedTo
unholy,"not hallowed or consecrated",,,"extremely evil or cruel; expressive of cruelty or befitting hell",,,"having committed unrighteous acts",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,terrible,"causing fear or dread or terror",,,"exceptionally bad or displeasing",,,"intensely or extremely bad or unpleasant in degree or quality",,,"extreme in degree or extent or amount or impact",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
nestled,"move or arrange oneself in a comfortable and cozy position",,,"lie in a sheltered position",,,"position comfortably",,,"drawn or pressed close to someone or something for or as if for affection or protection",,,,<!--,-->,,<!--,-->,,<!--,-->,snuggled,"move or arrange oneself in a comfortable and cozy position",,,"position comfortably",,,"drawn or pressed close to someone or something for or as if for affection or protection",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,Synonym
integration,"the action of incorporating a racial or religious group into a community",,,"the act of combining into an integral whole",,,"an operation used in the calculus whereby the integral of a function is determined",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,consolidation,"combining into a solid mass",,,"the act of combining into an integral whole",,,"something that has consolidated into a compact mass",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,Synonym
ear,"the sense organ for hearing and equilibrium",,,"good hearing",,,"the externally visible cartilaginous structure of the external ear",,,"attention to what is said",,,"fruiting spike of a cereal plant especially corn",,,,<!--,-->,,<!--,-->,lobes,"(anatomy) a somewhat rounded subdivision of a bodily organ or part",,,"(botany) a part into which a leaf is divided",,,"the enhanced response of an antenna in a given direction as indicated by a loop in its radiation pattern",,,"a rounded projection that is part of a larger structure",,,"propel in a high arc",,,,<!--,-->,,<!--,-->,RelatedTo
scavenging,"clean refuse from",,,"collect discarded or refused material",,,"feed on carrion or refuse",,,"remove unwanted substances from",,,,<!--,-->,,<!--,-->,,<!--,-->,eat,"take in solid food",,,"eat a meal; take a meal",,,"take in food; used of animals only",,,"worry or cause anxiety in a persistent way",,,"use up (resources or materials)",,,"cause to deteriorate due to the action of water, air, or an acid",,,,<!--,-->,RelatedTo
protest,"a formal and solemn declaration of objection",,,"the act of protesting; a public (often organized) manifestation of dissent",,,"the act of making a strong public expression of disagreement and disapproval",,,"utter words of protest",,,"express opposition through action or words",,,"affirm or avow formally or solemnly",,,,<!--,-->,mobs,"a disorderly crowd of people",,,"a loose affiliation of gangsters in charge of organized criminal activities",,,"an association of criminals",,,"press tightly together or cram",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
biases,"a partiality that prevents objective consideration of an issue or situation",,,"a line or cut across a fabric that is not at right angles to a side of the fabric",,,"influence in an unfair way",,,"cause to be biased",,,,<!--,-->,,<!--,-->,,<!--,-->,bias,"a partiality that prevents objective consideration of an issue or situation",,,"a line or cut across a fabric that is not at right angles to a side of the fabric",,,"influence in an unfair way",,,"cause to be biased",,,"slanting diagonally across the grain of a fabric",,,,<!--,-->,,<!--,-->,RelatedTo
conjugation,"the state of being joined together",,,"the inflection of verbs",,,"the complete set of inflected forms of a verb",,,"a class of verbs having the same inflectional forms",,,"the act of pairing a male and female for reproductive purposes",,,"the act of making or becoming a single unit",,,,<!--,-->,coupling,"a connection (like a clamp or vise) between two things so they move together",,,"a mechanical device that serves to connect the ends of adjacent objects",,,"the act of pairing a male and female for reproductive purposes",,,"bring two objects, ideas, or people together",,,"link together",,,"form a pair or pairs",,,"engage in sexual intercourse",,,Synonym
scrubbed,"clean with hard rubbing",,,"wash thoroughly",,,"postpone indefinitely or annul something that was scheduled",,,"made clean by scrubbing",,,,<!--,-->,,<!--,-->,,<!--,-->,stunted,"check the growth or development of",,,"perform a stunt or stunts",,,"inferior in size or quality",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
downstage,"the front half of the stage (as seen from the audience)",,,"of the front half of a stage",,,"at or toward the front of the stage",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,medicine,"the branches of medical science that deal with nonsurgical techniques",,,"(medicine) something that treats or prevents or alleviates the symptoms of disease",,,"the learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or curing diseases and injuries",,,"punishment for one's actions",,,"treat medicinally, treat with medicine",,,,<!--,-->,,<!--,-->,HasContext
multiplex,"communicates two or more signals over a common channel",,,"a movie theater than has several different auditoriums in the same building",,,"many and varied; having many features or forms",,,"having many parts or aspects",,,,<!--,-->,,<!--,-->,,<!--,-->,juggling,"the act of rearranging things to give a misleading impression",,,"throwing and catching several objects simultaneously",,,"influence by slyness",,,"manipulate by or as if by moving around components",,,"deal with simultaneously",,,"throw, catch, and keep in the air several things simultaneously",,,"hold with difficulty and balance insecurely",,,HasContext
corralling,"enclose in a corral",,,"arrange wagons so that they form a corral",,,"collect or gather",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,corral,"a pen for cattle",,,"enclose in a corral",,,"arrange wagons so that they form a corral",,,"collect or gather",,,,<!--,-->,,<!--,-->,,<!--,-->,FormOf
prickled,"cause a prickling sensation",,,"cause a stinging or tingling sensation",,,"make a small hole into, as with a needle or a thorn",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,prickle,"a small sharp-pointed tip resembling a spike on a stem or leaf",,,"cause a prickling sensation",,,"cause a stinging or tingling sensation",,,"make a small hole into, as with a needle or a thorn",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
bittersweet,"poisonous perennial Old World vine having violet flowers and oval coral-red berries; widespread weed in North America",,,"twining shrub of North America having yellow capsules enclosing scarlet seeds",,,"tinged with sadness",,,"having a taste that is a mixture of bitterness and sweetness",,,,<!--,-->,,<!--,-->,,<!--,-->,orange,"round yellow to orange fruit of any of several citrus trees",,,"orange color or pigment; any of a range of colors between red and yellow",,,"any citrus tree bearing oranges",,,"any pigment producing the orange color",,,"a river in South Africa that flows generally westward to the Atlantic Ocean",,,"of the color between red and yellow; similar to the color of a ripe orange",,,,<!--,-->,RelatedTo
caches,"a hidden storage space (for money or provisions or weapons)",,,"a secret store of valuables or money",,,"(computer science) RAM memory that is set aside as a specialized buffer storage that is continually updated; used to optimize data transfers between system elements with different characteristics",,,"save up as for future use",,,,<!--,-->,,<!--,-->,,<!--,-->,cachets,"an indication of approved or superior status",,,"a warrant formerly issued by a French king who could warrant imprisonment or death in a signed letter under his seal",,,"a seal on a letter",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,FormOf
catapult,"a plaything consisting of a Y-shaped stick with elastic between the arms; used to propel small stones",,,"a device that launches aircraft from a warship",,,"an engine that provided medieval artillery used during sieges; a heavy war engine for hurling large stones and other missiles",,,"shoot forth or launch, as if from a catapult",,,"hurl as if with a sling",,,,<!--,-->,,<!--,-->,device,"an instrumentality invented for a particular purpose",,,"something in an artistic work designed to achieve a particular effect",,,"any clever maneuver",,,"any ornamental pattern or design (as in embroidery)",,,"an emblematic design (especially in heraldry)",,,,<!--,-->,,<!--,-->,IsA
educate,"give an education to",,,"create by training and teaching",,,"teach or refine to be discriminative in taste or judgment",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,instruct,"impart skills or knowledge to",,,"give instructions or directions for some task",,,"make aware of",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,Synonym
commend,"express approval of",,,"present as worthy of regard, kindness, or confidence",,,"give to in charge",,,"express a good opinion of",,,"mention as by way of greeting or to indicate friendship",,,,<!--,-->,,<!--,-->,portray,"portray in words",,,"make a portrait of",,,"assume or act the character of",,,"represent abstractly, for example in a painting, drawing, or sculpture",,,,<!--,-->,,<!--,-->,,<!--,-->,MannerOf
swooped,"move down on as if in an attack",,,"move with a sweep, or in a swooping arc",,,"seize or catch with a swooping motion",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,swoop,"(music) rapid sliding up or down the musical scale",,,"a very rapid raid",,,"a swift descent through the air",,,"move down on as if in an attack",,,"move with a sweep, or in a swooping arc",,,"seize or catch with a swooping motion",,,,<!--,-->,FormOf
